"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.054,0.05,0.042,0.054,0.058,0.052,0.044
"2",0.5,0.098,0.092,0.068,0.126,0.152,0.132,0.16
"3",1,0.16,0.154,0.066,0.218,0.31,0.196,0.356
"4",1.5,0.28,0.278,0.058,0.38,0.572,0.378,0.628
"5",2,0.418,0.408,0.044,0.542,0.77,0.586,0.828
