"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.068,0.068,0.06,0.064,0.066,0.07,0.062
"2",0.5,0.072,0.068,0.038,0.066,0.082,0.08,0.076
"3",1,0.092,0.082,0.03,0.092,0.086,0.114,0.126
"4",1.5,0.194,0.196,0.05,0.196,0.178,0.288,0.314
"5",2,0.252,0.25,0.046,0.278,0.26,0.424,0.504
"6",2.5,0.38,0.386,0.042,0.418,0.432,0.668,0.758
"7",3,0.47,0.474,0.03,0.528,0.624,0.822,0.916
