"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.038,0.04,0.052,0.034,0.048,0.05,0.044
"2",0.5,0.082,0.076,0.044,0.084,0.074,0.072,0.082
"3",1,0.142,0.144,0.054,0.15,0.136,0.168,0.18
"4",1.5,0.28,0.278,0.058,0.296,0.308,0.41,0.4
"5",2,0.39,0.392,0.03,0.448,0.566,0.784,0.758
"6",2.5,0.438,0.426,0.02,0.522,0.75,0.94,0.93
"7",3,0.606,0.598,0.036,0.692,0.946,1,1
