"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.046,0.054,0.052,0.05,0.05,0.046,0.044
"2",0.5,0.138,0.138,0.054,0.206,0.416,0.3,0.394
"3",1,0.364,0.364,0.042,0.536,0.944,0.814,0.938
"4",1.5,0.498,0.494,0.064,0.716,0.998,0.986,0.998
"5",2,0.648,0.656,0.036,0.832,1,0.998,1
