"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0.909357484932623,0.913,0.375,0.862,0.825,0.904,0.873
"2",0.219083331026963,0.212,0.917,0.199,0.316,0.273,0.329
"3",0.991441947843543,0.993,0.624,0.946,0.931,0.951,0.949
"4",0.868674585278162,0.879,0.475,0.96,0.777,0.873,0.823
"5",0.0396159095428673,0.039,0.027,0.043,0.119,0.042,0.058
"6",0.832866197673925,0.827,0.328,0.848,0.475,0.794,0.545
"7",0.89724928175451,0.899,0.438,0.93,0.999,0.976,0.986
"8",0.153044949287625,0.149,0.975,0.17,0.228,0.17,0.21
"9",0.239276816512523,0.241,0.691,0.257,0.078,0.261,0.103
"10",0.74512748351277,0.734,0.627,0.605,0.596,0.718,0.648
"11",0.982624290066138,0.972,0.358,1,0.934,0.923,0.948
"12",0.823970056829671,0.825,0.444,0.922,0.701,0.517,0.577
"13",0.681866450847576,0.725,0.709,0.746,0.955,0.907,0.946
"14",0.862454401669788,0.881,0.416,0.946,0.631,0.681,0.714
"15",0.0533746203784473,0.052,0.039,0.067,0.24,0.062,0.082
"16",0.17687580536742,0.184,0.194,0.133,0.192,0.161,0.21
"17",0.40053279574279,0.403,0.318,0.376,0.537,0.561,0.6
"18",0.534711673397782,0.55,0.759,0.686,0.406,0.356,0.427
"19",0.614141534469305,0.641,0.416,0.513,0.721,0.804,0.787
"20",0.939878802285969,0.939,0.544,0.925,0.649,0.524,0.61
"21",0.104759453431023,0.085,0.98,0.115,0.181,0.116,0.15
"22",0.573712747555556,0.582,0.778,0.549,0.701,0.748,0.77
"23",0.766266457577218,0.789,0.786,0.859,0.94,0.89,0.925
"24",0.732364136207014,0.754,0.397,0.802,0.843,0.903,0.888
"25",0.371816761368319,0.406,0.15,0.346,0.268,0.402,0.319
"26",0.667055652444323,0.7,0.406,0.676,0.792,0.772,0.821
"27",0.140120125005666,0.137,0.901,0.107,0.111,0.169,0.148
"28",0.805415209985219,0.806,0.712,0.866,0.889,0.862,0.896
"29",0.55481128863731,0.545,0.745,0.52,0.835,0.759,0.819
"30",0.258550608461705,0.27,0.174,0.244,0.415,0.3,0.354
"31",0.0273837832666017,0.021,0.005,0.039,0.042,0.024,0.035
"32",0.232903779184503,0.244,0.047,0.311,0.463,0.279,0.327
"33",0.560746941051156,0.561,0.613,0.435,0.311,0.583,0.366
"34",0.77388145534019,0.785,0.665,0.878,0.746,0.639,0.698
"35",0.321934625951987,0.307,0.299,0.405,0.35,0.268,0.318
"36",0.0816768090700659,0.092,0.123,0.092,0.123,0.082,0.111
