"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.056,0.058,0.044,0.05,0.062,0.06,0.056
"2",0.5,0.084,0.09,0.05,0.12,0.16,0.126,0.18
"3",1,0.192,0.186,0.056,0.286,0.514,0.314,0.534
"4",1.5,0.34,0.336,0.046,0.48,0.814,0.558,0.82
"5",2,0.428,0.45,0.058,0.62,0.94,0.73,0.952
