"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0.151349447564059,0.157,0.024,0.174,0.13,0.15,0.141
"2",0.949920379350947,0.959,0.218,0.919,0.863,0.858,0.886
"3",0.908425310196665,0.892,0.088,0.922,0.959,0.944,0.96
"4",0.219942207393265,0.212,0.944,0.243,0.194,0.24,0.221
"5",0.924938532111437,0.929,0.757,0.903,0.995,0.963,0.976
"6",0.840283433960526,0.832,0.343,0.894,0.375,0.384,0.41
"7",0.667842128910804,0.68,0.628,0.651,0.484,0.733,0.516
"8",0.226530763439494,0.228,0.099,0.218,0.174,0.219,0.199
"9",0.0400890699822127,0.038,0.006,0.045,0.049,0.046,0.057
"10",0.148074560961514,0.149,0.057,0.141,0.163,0.152,0.172
"11",0.724127524086416,0.732,0.294,0.794,0.729,0.739,0.766
"12",0.86594806925919,0.872,0.168,0.842,0.712,0.826,0.754
"13",0.872863115773227,0.876,0.775,0.929,0.841,0.711,0.752
"14",0.518176078485313,0.514,0.287,0.484,0.523,0.513,0.568
"15",0.275787191099973,0.265,0.289,0.278,0.333,0.296,0.329
"16",0.215838680012296,0.222,0.748,0.217,0.366,0.246,0.274
"17",0.331835457121394,0.349,0.682,0.33,0.524,0.362,0.404
"18",0.904729212783886,0.909,0.865,0.912,0.936,0.929,0.945
"19",0.368839315785746,0.364,0.985,0.4,0.172,0.273,0.194
"20",0.867322586710905,0.866,0.78,0.878,0.974,0.943,0.959
"21",0.698654890963191,0.714,0.543,0.685,0.665,0.811,0.698
"22",0.670950148077958,0.68,0.26,0.653,0.683,0.71,0.715
"23",0.552050994028387,0.554,0.297,0.561,0.379,0.519,0.406
"24",0.01676488759478,0.015,0.188,0.014,0.026,0.019,0.024
"25",0.275897119965843,0.273,0.763,0.275,0.272,0.289,0.304
"26",0.61473230893338,0.613,0.554,0.624,0.719,0.736,0.752
"27",0.167081012854712,0.164,0.573,0.17,0.217,0.173,0.198
"28",0.301015516859574,0.31,0.206,0.299,0.141,0.248,0.161
"29",0.220014790226285,0.225,0.045,0.193,0.238,0.224,0.251
"30",0.95483758999014,0.959,0.697,0.963,0.927,0.888,0.914
"31",0.695964109170592,0.685,0.748,0.682,0.844,0.827,0.857
"32",0.298233248457521,0.293,0.621,0.315,0.424,0.322,0.353
"33",0.769259141320546,0.766,0.509,0.756,0.885,0.86,0.884
"34",0.175043267025468,0.182,0.02,0.175,0.34,0.199,0.23
"35",0.325615999364241,0.339,0.333,0.333,0.511,0.353,0.386
"36",0.520933206844079,0.521,0.335,0.529,0.679,0.575,0.616
"37",0.323854572069231,0.341,0.153,0.302,0.464,0.371,0.416
"38",0.850701894118107,0.863,0.557,0.864,0.778,0.729,0.77
"39",0.610850954383543,0.607,0.47,0.617,0.623,0.697,0.657
"40",0.706624879108138,0.727,0.899,0.708,0.946,0.873,0.896
"41",0.268681782144822,0.264,0.762,0.28,0.158,0.295,0.182
"42",0.181316734013021,0.179,0.052,0.163,0.059,0.125,0.073
"43",0.569196419626409,0.573,0.529,0.584,0.639,0.604,0.63
"44",0.605911017209213,0.612,0.499,0.566,0.587,0.621,0.623
"45",0.0628297826925291,0.058,0.354,0.06,0.164,0.074,0.088
"46",0.905684424150212,0.891,0.785,0.88,0.95,0.961,0.962
"47",0.346723536550851,0.318,0.603,0.305,0.409,0.395,0.429
"48",0.886372039416526,0.886,0.493,0.838,0.626,0.467,0.511
"49",0.17554875880998,0.176,0.236,0.199,0.175,0.179,0.202
"50",0.149948799460307,0.162,0.766,0.165,0.071,0.111,0.084
"51",0.982289706155757,0.985,0.275,0.966,0.96,0.942,0.961
"52",0.283135147377116,0.287,0.284,0.273,0.25,0.294,0.276
"53",0.268738315329946,0.265,0.927,0.272,0.362,0.293,0.325
"54",0.370632418090401,0.393,0.414,0.334,0.282,0.37,0.313
"55",0.760044633647025,0.775,0.46,0.733,0.647,0.713,0.689
"56",0.795279441352685,0.753,0.84,0.808,0.946,0.897,0.921
"57",0.872826932022778,0.875,0.27,0.91,0.773,0.806,0.807
"58",0.437605164998028,0.42,0.93,0.462,0.421,0.422,0.455
"59",0.521660913895143,0.523,0.321,0.509,0.635,0.592,0.629
"60",0.771170569036011,0.789,0.928,0.765,0.966,0.876,0.904
"61",0.906166689714689,0.906,0.108,0.944,0.865,0.783,0.818
"62",0.344693190312409,0.317,0.456,0.343,0.431,0.37,0.4
"63",0.617357328311581,0.65,0.983,0.624,0.749,0.762,0.789
"64",0.757192616355604,0.748,0.451,0.74,0.644,0.744,0.684
"65",0.15187853569288,0.161,0.556,0.16,0.176,0.187,0.205
"66",0.108869158608826,0.113,0.53,0.111,0.128,0.105,0.122
"67",0.987942635991136,0.99,0.731,0.974,0.922,0.891,0.912
"68",0.882983213313519,0.88,0.379,0.913,0.553,0.435,0.467
"69",0.362795825572159,0.372,0.754,0.374,0.456,0.402,0.447
"70",0.755312138127856,0.733,0.912,0.793,0.874,0.846,0.873
"71",0.195163141821121,0.192,0.614,0.174,0.155,0.193,0.175
"72",0.383176703949842,0.404,0.499,0.384,0.558,0.41,0.45
"73",0.4926178344171,0.492,0.699,0.494,0.603,0.592,0.629
"74",0.155245678044676,0.17,0.284,0.172,0.144,0.185,0.169
"75",0.396151913361756,0.397,0.83,0.43,0.208,0.279,0.226
"76",0.753449255475878,0.744,0.575,0.745,0.734,0.852,0.779
"77",0.733858538935184,0.751,0.358,0.752,0.812,0.771,0.799
"78",0.656200635808968,0.669,0.008,0.67,0.847,0.786,0.818
"79",0.265624260460084,0.244,0.825,0.263,0.286,0.305,0.329
"80",0.0837728142753156,0.086,0.306,0.073,0.122,0.103,0.117
"81",0.471510664647638,0.491,0.318,0.461,0.666,0.546,0.587
"82",0.465537494092437,0.47,0.692,0.422,0.466,0.468,0.491
"83",0.736051771697628,0.766,0.944,0.76,0.836,0.807,0.838
"84",0.611534141984017,0.621,0.373,0.626,0.394,0.644,0.422
"85",0.164077124189917,0.156,0.092,0.141,0.12,0.161,0.135
"86",0.561330251188681,0.556,0.516,0.557,0.519,0.58,0.554
"87",0.646591771281186,0.654,0.672,0.579,0.466,0.374,0.42
"88",0.24515958021052,0.251,0.553,0.241,0.375,0.263,0.307
"89",0.022471006877935,0.019,0.122,0.026,0.013,0.019,0.016
"90",0.401529611644361,0.393,0.479,0.423,0.484,0.455,0.492
"91",0.274521662842758,0.287,0.941,0.279,0.425,0.295,0.321
"92",0.0155848525009825,0.015,0.626,0.02,0.012,0.021,0.015
"93",0.0640954782057658,0.075,0.075,0.075,0.126,0.089,0.101
