"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"143",0.130868378442632,0.145,0.354,0.135,0.263,0.132,0.145
"144",0.916038210198088,0.915,0.907,0.873,0.495,0.459,0.506
"145",0.276309726376636,0.283,0.169,0.259,0.276,0.305,0.303
"146",0.499619985414548,0.5,0.476,0.468,0.55,0.512,0.535
"147",0.792906738258273,0.821,0.883,0.795,0.815,0.903,0.841
"148",0.444343112812553,0.479,0.864,0.429,0.488,0.466,0.506
"149",0.836152912000081,0.843,0.993,0.862,0.905,0.898,0.917
"150",0.193206763288703,0.191,0.216,0.263,0.056,0.124,0.063
"151",0.353896481518738,0.356,0.239,0.393,0.333,0.353,0.36
"152",0.771949004914863,0.763,0.739,0.714,0.558,0.408,0.446
"153",0.305711230823579,0.314,0.975,0.345,0.173,0.264,0.19
"154",0.761417417567106,0.766,0.626,0.743,0.792,0.809,0.824
"155",0.444610162712694,0.445,0.314,0.419,0.396,0.412,0.426
"156",0.833402243636118,0.823,0.555,0.825,0.944,0.881,0.908
"157",0.0183441546892846,0.025,0.201,0.013,0.011,0.012,0.012
"158",0.595276311527887,0.632,0.797,0.586,0.677,0.688,0.704
"159",0.357776025654894,0.347,0.185,0.325,0.338,0.382,0.372
"160",0.8576446790148,0.871,0.69,0.873,0.646,0.803,0.686
"161",0.317623111462723,0.322,0.486,0.299,0.348,0.342,0.375
"162",0.284975752439223,0.274,0.419,0.29,0.267,0.317,0.298
"163",0.615389120299458,0.604,0.732,0.596,0.423,0.507,0.463
"164",0.448773865346214,0.454,0.622,0.429,0.655,0.489,0.52
"165",0.621359269230782,0.611,0.86,0.632,0.745,0.714,0.746
"166",0.609493417550613,0.618,0.619,0.626,0.701,0.697,0.724
"167",0.584322060570941,0.574,0.63,0.588,0.595,0.694,0.629
"168",0.951836059385094,0.948,0.199,0.902,0.596,0.519,0.545
"169",0.30616645454768,0.292,0.418,0.296,0.485,0.327,0.348
"170",0.0801176482834922,0.072,0.634,0.087,0.07,0.088,0.081
"171",0.500498111833529,0.515,0.158,0.482,0.528,0.553,0.566
"172",0.500554595458208,0.502,0.669,0.513,0.318,0.52,0.352
"173",0.331279068418176,0.326,0.593,0.333,0.374,0.35,0.391
"174",0.814631565613824,0.825,0.711,0.815,0.961,0.956,0.966
"175",0.194207809868136,0.198,0.521,0.219,0.239,0.2,0.224
"176",0.821836092938093,0.815,0.876,0.805,0.599,0.802,0.644
"177",0.298545233632528,0.303,0.994,0.32,0.284,0.313,0.313
"178",0.709064360080853,0.702,0.566,0.711,0.704,0.815,0.747
"179",0.0572520778713596,0.053,0.203,0.053,0.064,0.066,0.072
"180",0.984677904909409,0.981,0.19,0.938,0.773,0.754,0.78
"181",0.982449861623987,0.98,0.874,0.994,0.929,0.878,0.901
"182",0.0978742385897973,0.103,0.103,0.101,0.15,0.131,0.147
"183",0.643389499107739,0.629,0.052,0.621,0.736,0.736,0.765
"184",0.783741947711822,0.784,0.248,0.795,0.793,0.888,0.817
"185",0.117465689114341,0.123,0.79,0.116,0.176,0.112,0.129
"186",0.249753266050572,0.25,0.814,0.252,0.226,0.264,0.251
"187",0.0833534964827881,0.087,0.563,0.106,0.173,0.092,0.112
"188",0.0811413479861903,0.1,0.948,0.082,0.025,0.06,0.029
"189",0.0370466617616654,0.036,0.193,0.035,0.043,0.029,0.034
"190",0.882458672793375,0.877,0.295,0.843,0.958,0.924,0.945
"191",0.950510642396128,0.948,0.199,0.938,0.814,0.789,0.812
"192",0.137347169294191,0.139,0.32,0.15,0.102,0.145,0.12
"193",0.781389983392633,0.769,0.784,0.794,0.928,0.876,0.9
