"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.022,0.024,0.062,0.026,0.032,0.03,0.028
"2",0.5,0.122,0.13,0.056,0.15,0.25,0.16,0.24
"3",1,0.228,0.236,0.054,0.386,0.708,0.428,0.648
"4",1.5,0.366,0.386,0.056,0.556,0.944,0.726,0.928
"5",2,0.442,0.46,0.042,0.646,0.99,0.87,0.99
