"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"361",0.653651119400801,0.639,0.47,0.678,0.786,0.785,0.847
"362",0.760628796425865,0.756,0.805,0.801,0.982,0.951,0.965
"363",0.637035746360949,0.636,0.577,0.611,0.754,0.834,0.83
"364",0.719390286021988,0.725,0.633,0.716,0.982,0.942,0.964
"365",0.393697398019491,0.379,0.894,0.353,0.263,0.32,0.318
"366",0.474663607734159,0.484,0.549,0.484,0.402,0.63,0.46
"367",0.565660391026316,0.562,0.558,0.483,0.318,0.708,0.382
"368",0.830500398420445,0.84,0.867,0.887,0.909,0.893,0.938
"369",0.122612370176522,0.121,0.562,0.066,0.044,0.151,0.059
"370",0.283657842087593,0.277,0.609,0.274,0.516,0.358,0.421
"371",0.426923508629384,0.445,0.804,0.332,0.297,0.525,0.355
"372",0.344277565509907,0.32,0.434,0.336,0.33,0.402,0.394
"373",0.337038354092185,0.33,0.644,0.218,0.184,0.204,0.237
"374",0.3922895006868,0.398,0.883,0.377,0.48,0.477,0.555
"375",0.509069444655114,0.512,0.815,0.512,0.756,0.692,0.748
"376",0.101745214000264,0.104,0.645,0.073,0.138,0.086,0.119
"377",0.27102941381135,0.274,0.75,0.301,0.536,0.432,0.537
"378",0.483381271976616,0.498,0.69,0.533,0.415,0.576,0.481
"379",0.388056040080037,0.376,0.538,0.368,0.434,0.507,0.504
"380",0.0737803349947703,0.075,0.195,0.067,0.092,0.084,0.108
"381",0.152312122762422,0.15,0.909,0.122,0.265,0.224,0.292
"382",0.179730717226095,0.195,0.125,0.225,0.18,0.162,0.207
"383",0.814842300927997,0.809,0.635,0.844,0.986,0.991,0.99
"384",0.480288350229193,0.503,0.903,0.624,0.457,0.315,0.364
"385",0.560847536718297,0.549,0.639,0.503,0.741,0.708,0.772
"386",0.744704073153939,0.732,0.946,0.908,0.692,0.611,0.682
"387",0.748983526287388,0.743,0.354,0.662,0.63,0.801,0.69
"388",0.0517061876397209,0.05,0.126,0.061,0.118,0.055,0.074
"389",0.0125455330063347,0.013,0.466,0.015,0.021,0.013,0.019
"390",0.369855189706297,0.334,0.019,0.438,0.363,0.391,0.424
"391",0.395411271747122,0.404,0.222,0.424,0.54,0.525,0.594
"392",0.392230103642466,0.382,0.002,0.537,0.481,0.33,0.394
"393",0.0888007448696145,0.117,0.232,0.103,0.129,0.111,0.136
"394",0.562362868322873,0.573,0.025,0.525,0.918,0.696,0.762
"395",0.538701618078232,0.555,0.557,0.508,0.307,0.445,0.364
"396",0.378287545355795,0.38,0.843,0.288,0.077,0.1,0.097
"397",0.931519784429238,0.929,0.452,0.989,0.972,0.948,0.968
"398",0.654036172496724,0.669,0.634,0.562,0.326,0.331,0.405
"399",0.18516360840806,0.187,0.015,0.204,0.371,0.243,0.304
"400",0.272032296613286,0.279,0.601,0.214,0.135,0.311,0.16
"401",0.183876786797424,0.169,0.72,0.215,0.246,0.209,0.246
"402",0.912435894370785,0.92,0.217,0.995,0.53,0.559,0.631
"403",0.505413143539252,0.473,0.123,0.496,0.906,0.72,0.767
"404",0.939730640933313,0.931,0.044,0.907,0.889,0.915,0.924
"405",0.0701473450882535,0.083,0.008,0.074,0.342,0.078,0.102
"406",0.420116103948824,0.412,0.132,0.412,0.353,0.486,0.416
"407",0.06317398037989,0.068,0.06,0.051,0.053,0.057,0.065
"408",0.850251770479224,0.868,0.669,0.948,0.95,0.821,0.873
"409",0.497720723484779,0.475,0.275,0.403,0.229,0.552,0.298
"410",0.303314803403288,0.322,0.425,0.232,0.174,0.314,0.208
"411",0.29592914211171,0.334,0.49,0.262,0.572,0.457,0.527
"412",0.845927044650662,0.837,0.751,0.823,0.61,0.748,0.656
"413",0.682734200571646,0.674,0.082,0.693,0.853,0.875,0.898
"414",0.634404847531579,0.636,0.182,0.615,0.711,0.75,0.781
"415",0.502601083478543,0.476,0.931,0.44,0.415,0.457,0.481
"416",0.242547302108686,0.258,0.744,0.318,0.306,0.199,0.238
"417",0.084878590341785,0.09,0.365,0.087,0.171,0.108,0.137
"418",0.774242828319756,0.786,0.633,0.794,0.979,0.957,0.976
"419",0.743210306428658,0.75,0.388,0.828,0.765,0.702,0.78
"420",0.373277646450806,0.369,0.872,0.254,0.457,0.498,0.525
"421",0.408088098973201,0.401,0.026,0.427,0.745,0.606,0.674
"422",0.261876194514348,0.262,0.692,0.249,0.408,0.339,0.395
"423",0.9283453391642,0.922,0.255,0.953,0.934,0.904,0.927
"424",0.246252700475254,0.248,0.206,0.26,0.312,0.269,0.316
"425",0.251513414577433,0.275,0.868,0.34,0.554,0.324,0.384
"426",0.420835884512684,0.431,0.335,0.348,0.236,0.39,0.282
"427",0.326832162401617,0.316,0.9,0.344,0.195,0.312,0.238
"428",0.46900301832762,0.448,0.435,0.526,0.785,0.666,0.749
"429",0.458640761662164,0.469,0.649,0.389,0.236,0.203,0.252
"430",0.643420203011392,0.647,0.512,0.679,0.494,0.689,0.571
"431",0.164291950126371,0.157,0.3,0.223,0.189,0.124,0.154
"432",0.245827743773637,0.252,0.732,0.218,0.224,0.351,0.285
"433",0.790451956186655,0.778,0.039,0.764,0.856,0.893,0.895
"434",0.728685657589559,0.722,0.594,0.728,0.898,0.934,0.933
"435",0.949188709502356,0.95,0.588,0.92,0.846,0.927,0.885
"436",0.479119624037174,0.465,0.804,0.606,0.444,0.392,0.446
"437",0.182088909881874,0.194,0.434,0.2,0.378,0.205,0.257
"438",0.99343993388206,0.996,0.757,0.989,0.991,0.981,0.986
"439",0.146224160959681,0.156,0.514,0.16,0.253,0.183,0.231
"440",0.819462517730087,0.825,0.526,0.822,0.36,0.629,0.424
"441",0.244068336418051,0.29,0.842,0.284,0.525,0.442,0.517
"442",0.653981341312524,0.659,0.166,0.794,0.374,0.197,0.252
"443",0.934745143928173,0.938,0.708,0.978,0.502,0.665,0.58
"444",0.414327843105212,0.394,0.904,0.326,0.157,0.374,0.203
"445",0.471430255722106,0.443,0.234,0.437,0.229,0.581,0.274
"446",0.953399749628335,0.963,0.679,0.957,0.878,0.967,0.925
"447",0.176818846015514,0.148,0.363,0.207,0.358,0.248,0.3
"448",0.355116971804152,0.356,0.902,0.353,0.31,0.451,0.377
"449",0.53966092320164,0.554,0.562,0.483,0.406,0.596,0.548
"450",0.386407554624809,0.378,0.703,0.326,0.345,0.47,0.404
"451",0.16493548796336,0.158,0.094,0.117,0.175,0.173,0.205
"452",0.502807605625282,0.522,0.083,0.488,0.577,0.75,0.701
"453",0.559322841200946,0.571,0.79,0.507,0.678,0.659,0.722
"454",0.406958966798031,0.402,0.473,0.457,0.386,0.443,0.449
"455",0.471365203561687,0.432,0.828,0.438,0.77,0.64,0.696
"456",0.112206921322894,0.111,0.706,0.086,0.266,0.131,0.165
"457",0.0282124560863415,0.03,0.2,0.025,0.147,0.028,0.041
"458",0.269400860054556,0.273,0.331,0.266,0.435,0.319,0.37
"459",0.75413346947043,0.771,0.524,0.735,0.692,0.825,0.757
"460",0.782917503829701,0.78,0.595,0.771,0.726,0.694,0.763
"461",0.409483619546802,0.416,0.963,0.406,0.287,0.437,0.354
"462",0.775809751127122,0.775,0.762,0.755,0.417,0.659,0.493
"463",0.0398626070877315,0.044,0.172,0.042,0.104,0.047,0.06
"464",0.0614166638931399,0.069,0.315,0.086,0.196,0.056,0.078
"465",0.760397680583249,0.756,0.422,0.672,0.436,0.896,0.529
"466",0.16208960976617,0.163,0.011,0.2,0.229,0.188,0.233
"467",0.566738418700147,0.622,0.769,0.522,0.29,0.272,0.323
"468",0.275293905404359,0.292,0.615,0.22,0.252,0.247,0.298
"469",0.975745832000884,0.973,0.121,0.893,0.968,0.953,0.974
"470",0.050202990838393,0.051,0.615,0.046,0.073,0.051,0.076
"471",0.797015971167929,0.824,0.684,0.817,0.859,0.98,0.898
"472",0.544183764967169,0.564,0.641,0.585,0.553,0.735,0.627
"473",0.585567251216373,0.594,0.738,0.543,0.766,0.522,0.615
"474",0.822926751386101,0.829,0.706,0.913,0.532,0.443,0.522
"475",0.352501500717682,0.34,0.214,0.317,0.348,0.378,0.405
"476",0.163533052016563,0.158,0.676,0.216,0.273,0.212,0.267
"477",0.454855782548324,0.436,0.339,0.401,0.594,0.726,0.658
"478",0.587395085784816,0.587,0.051,0.696,0.603,0.462,0.515
"479",0.289905565745001,0.321,0.977,0.355,0.123,0.244,0.162
"480",0.989822646079193,0.989,0.083,0.855,0.783,0.93,0.828
"481",0.780185190544546,0.78,0.697,0.702,0.564,0.83,0.649
"482",0.793725938726751,0.791,0.606,0.978,0.205,0.125,0.151
"483",0.313082255569256,0.31,0.801,0.377,0.221,0.247,0.276
"484",0.583057004087633,0.597,0.392,0.651,0.567,0.731,0.631
"485",0.287373168503769,0.268,0.893,0.263,0.308,0.326,0.367
"486",0.43876468957622,0.461,0.392,0.415,0.379,0.532,0.466
"487",0.323453140570166,0.318,0.185,0.387,0.427,0.334,0.396
"488",0.966596019000863,0.962,0.368,0.985,0.932,0.825,0.876
"489",0.67605929524183,0.675,0.843,0.593,0.475,0.719,0.53
"490",0.0148412054599985,0.013,0.577,0.017,0.01,0.01,0.016
"491",0.393840849913424,0.389,0.798,0.339,0.715,0.524,0.598
"492",0.54829039525705,0.539,0.863,0.411,0.416,0.461,0.477
"493",0.112896313771741,0.111,0.095,0.11,0.078,0.121,0.102
"494",0.152606431264738,0.159,0.312,0.148,0.243,0.176,0.219
"495",0.284131107440281,0.289,0.778,0.326,0.405,0.436,0.473
"496",0.12255743990597,0.127,0.12,0.11,0.079,0.132,0.099
"497",0.916971208684855,0.926,0.324,0.892,0.765,0.695,0.755
"498",0.0273959655575112,0.026,0.464,0.029,0.034,0.037,0.042
"499",0.617765274015849,0.63,0.676,0.729,0.718,0.688,0.763
"500",0.754063696625222,0.754,0.917,0.61,0.433,0.588,0.48
