"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0.893468105882739,0.88,0.965,0.892,0.980831642789944,0.999995776733294,0.954
"2",0.334397365554918,0.319,0.129,0.356,0.330483389601227,0.659866009012762,0.29
"3",0.135310856939634,0.133,0.528,0.14,0.140220911639364,0.146504461630334,0.172
"4",0.370274539872924,0.377,0.305,0.343,0.757995171659257,0.452500638732778,0.421
"5",0.685028335331286,0.675,0.33,0.676,0.428862968273573,0.416553696448975,0.501
"6",0.565316449272319,0.594,0.793,0.59,0.255218176923418,0.359475966862871,0.347
"7",0.160143401304692,0.141,0.176,0.163,0.0730548046810986,0.121703918202591,0.107
"8",0.058373096756732,0.06,0.942,0.051,0.022300302809196,0.0480611263877257,0.041
"9",0.56794951708614,0.55,0.345,0.602,0.65696346707875,0.665173973934562,0.638
"10",0.416851118328034,0.436,0.149,0.435,0.175864382090325,0.296483328612343,0.28
"11",0.181404071564051,0.195,0.91,0.164,0.170241825361101,0.177483065107987,0.176
"12",0.263199614971826,0.246,0.67,0.233,0.146614939937269,0.205988195712595,0.208
"13",0.698766174975213,0.703,0.486,0.709,0.970824206486954,0.945588513368763,0.723
"14",0.346191418992994,0.358,0.52,0.348,0.294266489970046,0.393706076181079,0.375
"15",0.0547723015760782,0.053,0.158,0.055,0.0860985652786226,0.0455778665984775,0.083
"16",0.59356125710687,0.585,0.932,0.577,0.835591774122185,0.789995152526301,0.61
"17",0.961737711190624,0.97,0.726,0.965,0.803445258392594,0.84774549046978,0.922
"18",0.0978599956474375,0.098,1,0.113,0.574448631547101,0.155231834576824,0.108
"19",0.00520643188123571,0.004,0.246,0.005,0.00858474879364168,0.00823397909601997,0.003
"20",0.605086795861306,0.598,0.294,0.603,0.94262000561612,0.82195623179367,0.657
"21",0.139455383436106,0.145,0.253,0.136,0.0987386780861109,0.109339650720874,0.13
"22",0.866963809302133,0.852,0.181,0.848,0.693144602703149,0.679948865655442,0.887
"23",0.575684628633863,0.572,0.309,0.584,0.983674797879554,0.927265208765253,0.592
"24",0.685944856711252,0.692,0.809,0.713,0.651745797122881,0.718397166852595,0.777
"25",0.42099614852387,0.409,0.716,0.437,0.34616534693592,0.510974039856391,0.321
"26",0.182039849837712,0.174,0.69,0.171,0.238405724291787,0.266927622349108,0.166
"27",0.391157338013348,0.357,0.492,0.384,0.418121710773314,0.316121310904479,0.424
"28",0.193802084615077,0.221,0.743,0.193,0.0373736115389272,0.125515988247132,0.143
"29",0.639261142193555,0.64,0.293,0.641,0.493662454397021,0.587407921239283,0.578
"30",0.483672736434312,0.5,0.734,0.494,0.832351468948951,0.947663801853365,0.515
"31",0.0848542272051923,0.086,0.016,0.074,0.280182056589027,0.0926232967111753,0.165
"32",0.11045896852551,0.104,0.081,0.125,0.184517172742369,0.110002877761787,0.155
"33",0.391289798479402,0.397,0.669,0.374,0.176313890070258,0.291249429378865,0.182
