"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.046,0.044,0.046,0.046,0.05,0.052,0.042
"2",0.025,0.064,0.066,0.05,0.082,0.122,0.074,0.118
"3",0.05,0.14,0.146,0.058,0.216,0.38,0.2,0.378
"4",0.075,0.244,0.254,0.054,0.364,0.632,0.344,0.612
"5",0.1,0.328,0.348,0.032,0.506,0.826,0.478,0.836
"6",0.125,0.464,0.482,0.064,0.628,0.962,0.668,0.95
"7",0.15,0.528,0.536,0.062,0.692,0.986,0.724,0.976
