"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.068,0.068,0.054,0.062,0.07,0.068,0.068
"2",0.5,0.06,0.058,0.048,0.064,0.1,0.076,0.088
"3",1,0.112,0.106,0.052,0.15,0.31,0.296,0.3
"4",1.5,0.212,0.198,0.092,0.292,0.784,0.884,0.854
"5",2,0.338,0.338,0.122,0.45,0.98,0.996,0.994
"6",2.5,0.564,0.568,0.278,0.732,1,1,1
"7",3,0.8,0.804,0.45,0.916,1,1,1
