"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.046,0.042,0.036,0.044,0.054,0.06,0.058
"2",0.5,0.132,0.132,0.036,0.156,0.19,0.168,0.17
"3",1,0.31,0.312,0.042,0.41,0.576,0.476,0.576
"4",1.5,0.392,0.39,0.03,0.52,0.796,0.714,0.82
"5",2,0.586,0.58,0.03,0.718,0.96,0.876,0.962
