"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.06,0.058,0.05,0.056,0.06,0.062,0.062
"2",0.5,0.058,0.058,0.044,0.072,0.068,0.078,0.078
"3",1,0.09,0.092,0.038,0.104,0.154,0.128,0.174
"4",1.5,0.146,0.144,0.102,0.176,0.38,0.332,0.398
"5",2,0.208,0.21,0.076,0.28,0.702,0.736,0.78
"6",2.5,0.364,0.366,0.13,0.476,0.934,0.972,0.964
"7",3,0.54,0.538,0.212,0.666,0.998,0.998,1
