"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.046,0.042,0.068,0.048,0.046,0.044,0.044
"2",0.5,0.098,0.094,0.036,0.098,0.088,0.106,0.102
"3",1,0.2,0.2,0.03,0.228,0.24,0.32,0.302
"4",1.5,0.292,0.286,0.032,0.332,0.444,0.686,0.644
"5",2,0.424,0.422,0.03,0.47,0.738,0.976,0.958
"6",2.5,0.586,0.576,0.022,0.656,0.924,1,1
"7",3,0.692,0.69,0.056,0.788,0.99,1,1
