"","theta","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0,0.044,0.046,0.04,0.046,0.06,0.06,0.058
"2",0.5,0.046,0.046,0.05,0.044,0.078,0.06,0.072
"3",1,0.088,0.09,0.07,0.1,0.132,0.13,0.154
"4",1.5,0.112,0.108,0.062,0.134,0.186,0.192,0.292
"5",2,0.204,0.206,0.092,0.252,0.432,0.49,0.618
"6",2.5,0.37,0.362,0.094,0.454,0.686,0.796,0.892
"7",3,0.45,0.452,0.194,0.584,0.87,0.87,0.996
