"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0.163011846284283,0.143,0.687,0.146,0.26942290320562,0.160768690101659,0.197
"2",0.931357440526702,0.938,0.669,0.944,0.966837839831132,0.932085234178972,0.977
"3",0.415201874986012,0.396,0.187,0.428,0.482559628547003,0.507770132462309,0.434
"4",0.936807752189625,0.932,0.992,0.945,0.753774347677276,0.76683733892565,0.882
"5",0.809122581381391,0.815,0.589,0.828,0.819287642851057,0.768717955781592,0.873
"6",0.393939103792788,0.395,0.311,0.45,0.229065128896227,0.385122191649895,0.278
"7",0.788071666849227,0.779,0.931,0.763,0.731707171182373,0.656272381588582,0.81
"8",0.969737277848862,0.975,0.925,0.988,0.807203576850537,0.932181057869137,0.689
"9",0.950853572375293,0.94,0.946,0.951,0.91593686743094,0.877024287887831,0.953
"10",0.0432199120375032,0.042,0.023,0.045,0.0671436908714228,0.0518780692558423,0.06
"11",0.0891464590245767,0.097,0.303,0.083,0.244849376338529,0.0872153520481886,0.118
"12",0.326912852012558,0.301,0.761,0.337,0.723510905459527,0.923675876517256,0.289
"13",0.535499826205751,0.528,0.478,0.524,0.593443531262287,0.536939217338299,0.627
"14",0.842123010826929,0.842,0.436,0.822,0.722208164894059,0.68968432392083,0.845
"15",0.622717194592919,0.645,0.302,0.607,0.388445936421759,0.49254130963306,0.476
"16",0.377598881558179,0.388,0.908,0.372,0.947291731162883,0.984442766366867,0.468
"17",0.27467565378983,0.271,0.958,0.25,0.424033556597657,0.250004120749828,0.297
"18",0.693341483953056,0.715,0.936,0.7,0.860154540934149,0.802277334854665,0.775
"19",0.812026277654127,0.805,0.513,0.819,0.798486029482522,0.857746629733178,0.837
"20",0.135964322781043,0.138,0.138,0.122,0.166302437303758,0.171551562484032,0.156
"21",0.373396584629865,0.357,0.266,0.396,0.240015804701883,0.267006475012931,0.261
"22",0.446106636454339,0.471,0.208,0.454,0.348961503326215,0.509372686419862,0.389
"23",0.430253248186094,0.439,0.512,0.43,0.673096134142852,0.692278773228969,0.539
"24",0.353975863634117,0.349,0.026,0.314,0.253560279480431,0.246643409213567,0.288
"25",0.576747205332727,0.576,0.353,0.607,0.585847982926385,0.564147522334375,0.557
"26",0.884528162627433,0.883,0.722,0.886,0.8944476807688,0.842161386691336,0.92
"27",0.0825522045772757,0.084,0.207,0.078,0.140478551781831,0.0816995380206063,0.099
"28",0.361906843898888,0.346,0.626,0.328,0.300327863991898,0.338859708108575,0.36
"29",0.421850571266424,0.412,0.263,0.428,0.437327247784539,0.46640976512024,0.485
"30",0.472441696529142,0.471,0.018,0.47,0.660241982227974,0.61790230000173,0.531
"31",0.670071323070091,0.662,0.95,0.732,0.406099698605197,0.458783721854042,0.489
"32",0.11031269083601,0.104,0.601,0.109,0.178972448469224,0.14084828742485,0.162
"33",0.895496068530949,0.898,0.246,0.865,0.681537454553875,0.793057485907631,0.829
"34",0.787342947768538,0.789,0.851,0.779,0.951072702888567,0.973487458517874,0.879
"35",0.773550600315326,0.778,0.019,0.762,0.923901832385506,0.938471313912979,0.863
"36",0.24415725168241,0.245,0.686,0.235,0.265698581815049,0.245544807907148,0.257
"37",0.434441305049521,0.465,0.289,0.423,0.777338301187342,0.931049961181193,0.477
"38",0.469708034159613,0.45,0.497,0.485,0.319607350362951,0.440832588171938,0.392
